Region,Province
1,1
1,2
1,3
1,4
2,5
2,6
2,7
2,8
2,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
4,61
4,62
4,63
4,64
4,65
5,77
5,78
5,79
5,80
5,81
6,17
6,18
6,19
6,20
6,21
6,22
7,23
7,24
7,25
7,26
7,27
7,28
8,29
8,30
8,31
8,32
9,33
9,34
9,35
9,36
9,37
9,38
10,39
10,40
10,41
11,42
11,43
11,44
11,45
11,46
12,47
12,48
12,49
12,50
12,51
13,52
13,53
13,54
13,55
14,56
14,57
14,58
14,59
14,60
15,82
16,71
16,72
16,73
16,74
16,75
16,76
17,66
17,67
17,68
17,69
17,70
